Date,MocHoa,MyTho,CaoLanh,BaTri,CangLong,ChauDoc,CanTho,SocTrang,PhuQuoc,RachGia,BacLieu,CaMau,ToanVung
16-May,117.9,170.7,154.6,117.9,267.2,156.5,258.8,270.4,,377.9,208.1,161.4,205.5818182
16-Jun,73.9,227.9,138.4,209.6,196,141.4,240.5,263.3,,271.4,351.4,230.8,213.1454545
16-Jul,149.2,187.1,235.3,226.9,326.2,142.4,200.7,266.4,,265.4,193.2,432.2,238.6363636
16-Aug,105.8,180.9,56,319.5,152.1,65.8,139.2,181.8,,193.1,395,271.9,187.3727273
16-Sep,336.6,374.7,360.4,147,399.1,192.7,135.7,160.6,,308.4,303.1,345,278.4818182
16-Oct,265.4,415.7,348.3,246.3,456.7,540,433.4,306.8,,431.4,305.2,501.1,386.3909091
16-Nov,199.1,122.3,107.4,40.1,105.4,130.2,138.8,201.4,,295.4,161.2,183.6,153.1727273
16-Dec,89.8,82.8,145.1,28.3,76.3,106.7,106.2,60.8,,125,166.2,171.8,105.3636364
17-Jan,56.4,45.1,56.3,26.7,41.5,50.1,21.7,34.4,,152.2,33.4,15.8,48.50909091
17-Feb,17.6,45.3,38.1,8,25.5,33.7,57.3,33,,65.9,13.9,54.3,35.69090909
17-Mar,6.6,0,51.2,4.5,5.6,28.3,14.6,3.9,,87.3,0,12.5,19.5
17-Apr,41,54.7,65.2,47.8,8.6,144.9,60.3,2.7,,204.3,33.3,98.1,69.17272727
17-May,243.3,127.8,153.5,323.4,171.4,196.3,499.7,225.3,,254.6,179.2,272.4,240.6272727
17-Jun,110.3,224.8,174,219.9,157.1,94.4,156.6,243.8,,128.7,250,148.6,173.4727273
17-Jul,145.7,196.7,201.1,211.6,225.5,217.8,214.2,388.7,,294.3,348.7,251.4,245.0636364
17-Aug,199.3,182,142,170,379.1,126.9,300.5,253.2,,339.7,508,383.1,271.2545455
17-Sep,233.9,170.4,128.3,211.2,248.5,184.9,223.3,319.1,,224.5,343.4,291.5,234.4545455
17-Oct,499.3,457.4,319.2,385.5,231.5,208.6,282.4,391.5,,408.3,206.7,453.8,349.4727273
17-Nov,210.2,96.8,101.3,73.1,89.5,187.8,106.2,217.1,,218.5,103.5,121.3,138.6636364
17-Dec,99.1,69,63,103.1,107,136,151.6,134.3,,131.8,111.1,72.4,107.1272727
18-Jan,31.9,125.5,50.8,18.7,35.7,26,101.9,6.6,,221.8,4.4,42.5,60.52727273
18-Feb,15.3,0,3.3,0,0,0,3.4,0.2,,9.7,0.3,11.2,3.945454545
18-Mar,15.8,55.3,26.6,0,0,20.7,43.7,0,,74,0,0.2,21.48181818
18-Apr,32.6,0.2,48.9,0.6,2.2,66.8,9.5,0,,95.5,3.9,10.1,24.57272727
18-May,307.2,140.8,216.8,187.8,69.1,164.4,255.8,110,,203.1,94.8,219.8,179.0545455
18-Jun,153.4,138.8,149.9,267.3,232.3,156.2,159,179.8,,284.5,217.1,238.8,197.9181818
18-Jul,86.6,132.3,121.9,256.9,152.6,95.8,210.9,323.4,,493,463.3,522.9,259.9636364
18-Aug,199.7,150.5,170,187.7,192.2,234.2,164.7,238.3,,356.6,261.6,288.8,222.2090909
18-Sep,142.9,198.4,234,225.1,328.6,136.6,129.4,278.2,,297.9,421.7,293.7,244.2272727
18-Oct,171.8,234.4,258.3,192.5,222.7,196,254.4,169,,240.5,130.9,227.6,208.9181818
18-Nov,115.5,123.3,34.7,61.4,26.3,126.4,129.1,70.4,,92.5,75.9,104.5,87.27272727
18-Dec,28.3,75.2,0,66.9,94.8,111.8,112,161,,192.1,100.8,47.7,90.05454545
19-Jan,2.5,3.8,2.9,11.8,9.4,9,6.2,31.2,,26.6,132.1,149.3,34.98181818
19-Feb,0,0.1,0.3,0,0,0,0.2,0.3,,16.9,0,0.8,1.690909091
19-Mar,38.7,0,2.4,0,2.2,8.8,0,0.3,,41,2.4,13.1,9.9
19-Apr,99.7,4.2,19.8,40,44.4,70.9,73.9,9.2,,53.4,25.1,60.7,45.57272727
19-May,169.8,160.8,137.8,113.8,255.7,172.7,247,231.4,,215.6,395.1,205.4,209.5545455
19-Jun,85.4,138.9,136.7,235.4,113.7,197.2,252.4,237.6,,412.1,546.4,444.8,254.6
19-Jul,313,167.3,83.1,172.7,182.7,79.3,160.7,160.7,,306.9,206.3,242.2,188.6272727
19-Aug,138.9,196.9,247.9,315.8,303.3,167,310.1,260.7,,493.8,404.2,464.5,300.2818182
19-Sep,177.3,126.3,240.3,183.1,311.3,174.5,254.8,218.4,,473.7,264.2,302.5,247.8545455
19-Oct,191.6,227.5,389.3,144.1,147.3,258.8,182.2,158.3,,243,129.8,269.5,212.8545455
19-Nov,75,173.8,27.1,24.2,97.9,68.3,99,138.2,,152.9,119.2,110.1,98.7
19-Dec,0.3,1.9,1,0,1.3,3.4,0,0,,0.2,0,0,0.736363636
